username,password,firstname,lastname,email,city,country,institution,department,course1,role1
hvalenzuela35,Clave157!,Héctor,Valenzuela,hvalenzuela35@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
cmaldonado36,Clave158!,Cristina,Maldonado,cmaldonado36@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
jzamora37,Clave159!,Javier,Zamora,jzamora37@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
pmeza38,Clave160!,Patricia,Meza,pmeza38@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
rquiroz39,Clave161!,Roberto,Quiroz,rquiroz39@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
amolina40,Clave162!,Andrea,Molina,amolina40@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
farias41,Clave163!,Francisco,Farias,farias41@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
carias42,Clave164!,Constanza,Arias,carias42@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
lcorrea43,Clave165!,Lorena,Correa,lcorrea43@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
mleiva44,Clave166!,Manuel,Leiva,mleiva44@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
jbriceño45,Clave167!,Jimena,Briceño,jbriceño45@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
aescobar46,Clave168!,Alejandro,Escobar,aescobar46@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
vhenriquez47,Clave169!,Verónica,Henríquez,vhenriquez47@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
dleon48,Clave170!,Diego,León,dleon48@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
mfuentes49,Clave171!,Mónica,Fuentes,mfuentes49@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
gvallejos50,Clave172!,Gonzalo,Vallejos,gvallejos50@institucion.cl,Santiago,CL,SSMOC,Capacitación,TI2026,student
